municipality,census_csduid,census_cduid,census_desc,fuel_type,registered_vehicles_2016,registered_vehicles_2017,registered_vehicles_2018,registered_vehicles_2019,registered_vehicles_2020
French River / Rivière des Français,3552001,,Municipality / Municipalite,Plugin Hybrid,0,1,4,5,4
French River / Rivière des Français,3552001,,Municipality / Municipalite,Propane,1,0,0,0,1
Front of Yonge,3507017,,Township,Compressed Natural Gas,0,0,0,0,1
Front of Yonge,3507017,,Township,Diesel,150,145,142,146,156
Front of Yonge,3507017,,Township,Electric,0,1,1,4,5
Front of Yonge,3507017,,Township,Gas,2981,3018,3046,3106,3212
Front of Yonge,3507017,,Township,Plugin Hybrid,0,0,1,1,1
Front of Yonge,3507017,,Township,Propane,0,0,0,0,0
Frontenac,,3510,Census Division,Compressed Natural Gas,4,5,2,3,3
Frontenac,,3510,Census Division,Diesel,4707,4596,4201,4049,4138
Frontenac,,3510,Census Division,Electric,38,63,158,219,313
Frontenac,,3510,Census Division,Gas,97826,99890,101499,103031,104669
Frontenac,,3510,Census Division,Plugin Hybrid,49,75,126,162,183
Frontenac,,3510,Census Division,Propane,11,9,10,11,10
Frontenac Islands,3510005,,Township,Compressed Natural Gas,0,0,0,0,0
Frontenac Islands,3510005,,Township,Diesel,97,89,91,94,100
Frontenac Islands,3510005,,Township,Electric,0,1,1,2,3
Frontenac Islands,3510005,,Township,Gas,1743,1768,1814,1843,1871
Frontenac Islands,3510005,,Township,Plugin Hybrid,0,0,1,1,1
Frontenac Islands,3510005,,Township,Propane,2,2,1,1,2
Gananoque,3507024,,Town,Compressed Natural Gas,2,2,2,2,2
Gananoque,3507024,,Town,Diesel,228,224,219,243,256
Gananoque,3507024,,Town,Electric,3,7,7,9,10
Gananoque,3507024,,Town,Gas,6353,6451,6547,6739,6846
Gananoque,3507024,,Town,Plugin Hybrid,2,6,5,5,8
Gananoque,3507024,,Town,Propane,0,1,0,0,0
Gauthier,3554066,,Township,Compressed Natural Gas,0,0,0,0,0
Gauthier,3554066,,Township,Diesel,16,16,15,15,16
Gauthier,3554066,,Township,Electric,0,0,0,0,0
Gauthier,3554066,,Township,Gas,103,97,109,109,107
Gauthier,3554066,,Township,Plugin Hybrid,0,0,0,0,0
Gauthier,3554066,,Township,Propane,0,0,0,0,0
Georgian Bay,3544065,,Township,Compressed Natural Gas,0,0,0,0,0
Georgian Bay,3544065,,Township,Diesel,47,42,39,39,39
Georgian Bay,3544065,,Township,Electric,0,0,1,1,1
Georgian Bay,3544065,,Township,Gas,743,744,524,454,481
Georgian Bay,3544065,,Township,Plugin Hybrid,0,0,0,0,0
Georgian Bay,3544065,,Township,Propane,0,0,0,0,0
Georgian Bluffs,3542053,,Township,Compressed Natural Gas,0,0,0,0,0
Georgian Bluffs,3542053,,Township,Diesel,352,362,369,387,407
Georgian Bluffs,3542053,,Township,Electric,0,0,2,4,6
Georgian Bluffs,3542053,,Township,Gas,4175,4335,4478,4577,4668
Georgian Bluffs,3542053,,Township,Plugin Hybrid,0,1,3,3,5
Georgian Bluffs,3542053,,Township,Propane,0,0,0,1,0
Georgina,3519070,,Town,Compressed Natural Gas,2,2,1,1,1
Georgina,3519070,,Town,Diesel,1981,1887,1900,1882,1922
Georgina,3519070,,Town,Electric,15,20,44,69,88
Georgina,3519070,,Town,Gas,36047,36487,36647,37191,38014
Georgina,3519070,,Town,Plugin Hybrid,10,19,39,45,56
Georgina,3519070,,Town,Propane,3,0,2,2,2
Goderich,3540028,,Town,Compressed Natural Gas,2,1,1,1,1
Goderich,3540028,,Town,Diesel,567,550,550,562,548
Goderich,3540028,,Town,Electric,2,3,8,11,22
Goderich,3540028,,Town,Gas,9346,9585,9697,9834,9977
Goderich,3540028,,Town,Plugin Hybrid,4,4,14,16,18
Goderich,3540028,,Town,Propane,0,0,1,0,0
Gore Bay,3551026,,Town,Compressed Natural Gas,0,0,0,0,0
Gore Bay,3551026,,Town,Diesel,534,544,585,587,590
Gore Bay,3551026,,Town,Electric,0,0,1,1,1
Gore Bay,3551026,,Town,Gas,1337,1352,1363,1386,1457
Gore Bay,3551026,,Town,Plugin Hybrid,0,0,0,0,0
Gore Bay,3551026,,Town,Propane,0,0,0,0,0
Grand Valley,3522010,,Town,Compressed Natural Gas,0,0,0,0,0
Grand Valley,3522010,,Town,Diesel,246,247,226,253,252
Grand Valley,3522010,,Town,Electric,0,0,3,5,7
Grand Valley,3522010,,Town,Gas,2548,2765,2878,3063,3176
Grand Valley,3522010,,Town,Plugin Hybrid,2,2,2,2,6
Grand Valley,3522010,,Town,Propane,0,0,0,0,0
Gravenhurst,3544002,,Town,Compressed Natural Gas,0,1,1,1,1
Gravenhurst,3544002,,Town,Diesel,672,682,720,721,734
Gravenhurst,3544002,,Town,Electric,6,6,7,7,13
Gravenhurst,3544002,,Town,Gas,10811,11111,11205,11026,11305
Gravenhurst,3544002,,Town,Plugin Hybrid,1,7,12,11,13
Gravenhurst,3544002,,Town,Propane,7,4,2,1,1
Greater Madawaska,3547008,,Township,Compressed Natural Gas,0,0,0,0,0
Greater Madawaska,3547008,,Township,Diesel,104,105,110,120,123
Greater Madawaska,3547008,,Township,Electric,3,3,5,4,3
Greater Madawaska,3547008,,Township,Gas,1638,1702,1753,1747,1822
Greater Madawaska,3547008,,Township,Plugin Hybrid,1,0,2,2,2
Greater Madawaska,3547008,,Township,Propane,0,0,0,0,0
Greater Napanee,3511015,,Town,Compressed Natural Gas,0,0,1,1,1
Greater Napanee,3511015,,Town,Diesel,858,854,873,901,929
Greater Napanee,3511015,,Town,Electric,2,7,11,12,18
Greater Napanee,3511015,,Town,Gas,12573,12868,13074,13388,13750
Greater Napanee,3511015,,Town,Plugin Hybrid,2,5,9,8,7
Greater Napanee,3511015,,Town,Propane,0,0,1,1,1
Greater Sudbury / Grand Sudbury,3553005,,City / Ville,Compressed Natural Gas,11,8,7,5,6
Greater Sudbury / Grand Sudbury,3553005,,City / Ville,Diesel,6171,5999,6087,6154,6364
Greater Sudbury / Grand Sudbury,3553005,,City / Ville,Electric,21,28,63,83,115
Greater Sudbury / Grand Sudbury,3553005,,City / Ville,Gas,121330,121886,122711,123587,125119
Greater Sudbury / Grand Sudbury,3553005,,City / Ville,Plugin Hybrid,17,30,87,118,136
Greater Sudbury / Grand Sudbury,3553005,,City / Ville,Propane,19,15,13,9,8
Greenstone,3558075,,Municipality,Compressed Natural Gas,0,0,0,0,0
Greenstone,3558075,,Municipality,Diesel,258,252,277,296,310
Greenstone,3558075,,Municipality,Electric,0,0,0,0,0
Greenstone,3558075,,Municipality,Gas,3676,3682,3582,3514,3510
Greenstone,3558075,,Municipality,Plugin Hybrid,0,0,0,1,0
Greenstone,3558075,,Municipality,Propane,2,1,1,1,1
Grey,,3542,Census Division,Compressed Natural Gas,3,3,5,5,5
Grey,,3542,Census Division,Diesel,5569,5399,5576,5693,5765
Grey,,3542,Census Division,Electric,21,42,85,113,163
Grey,,3542,Census Division,Gas,72793,74775,76126,76753,78224
Grey,,3542,Census Division,Plugin Hybrid,20,29,83,98,112
Grey,,3542,Census Division,Propane,12,10,9,9,7
Grey Highlands,3542015,,Municipality,Compressed Natural Gas,2,1,1,1,1
Grey Highlands,3542015,,Municipality,Diesel,1100,1091,1089,1072,1044
Grey Highlands,3542015,,Municipality,Electric,3,4,13,18,22
Grey Highlands,3542015,,Municipality,Gas,9572,9881,10002,9990,10075
Grey Highlands,3542015,,Municipality,Plugin Hybrid,2,2,8,9,7
Grey Highlands,3542015,,Municipality,Propane,0,0,1,0,0
Grimsby,3526065,,Town,Compressed Natural Gas,0,0,0,0,0
Grimsby,3526065,,Town,Diesel,1020,952,988,987,1016
Grimsby,3526065,,Town,Electric,11,23,62,89,128
Grimsby,3526065,,Town,Gas,20717,21163,21595,21988,22454
Grimsby,3526065,,Town,Plugin Hybrid,18,44,71,79,84
Grimsby,3526065,,Town,Propane,1,1,0,1,1
Guelph,3523008,,City,Compressed Natural Gas,8,6,9,10,11
Guelph,3523008,,City,Diesel,4324,4089,3975,4042,4096
Guelph,3523008,,City,Electric,44,77,196,292,371
Guelph,3523008,,City,Gas,90032,91867,93785,95568,97189
Guelph,3523008,,City,Plugin Hybrid,45,76,162,190,213
Guelph,3523008,,City,Propane,5,2,5,6,4
Guelph/Eramosa,3523009,,Township,Compressed Natural Gas,1,1,2,2,2
Guelph/Eramosa,3523009,,Township,Diesel,794,774,784,779,795
Guelph/Eramosa,3523009,,Township,Electric,6,9,23,39,43
Guelph/Eramosa,3523009,,Township,Gas,9156,9474,9641,9756,9977
Guelph/Eramosa,3523009,,Township,Plugin Hybrid,6,12,22,27,27
Guelph/Eramosa,3523009,,Township,Propane,1,0,0,0,1
Haldimand County,3528018,,City,Compressed Natural Gas,5,4,4,2,2
Haldimand County,3528018,,City,Diesel,3424,3381,3549,3728,3777
Haldimand County,3528018,,City,Electric,6,14,37,47,71
Haldimand County,3528018,,City,Gas,43888,45248,46482,47778,49056
Haldimand County,3528018,,City,Plugin Hybrid,6,21,33,38,40
Haldimand County,3528018,,City,Propane,4,5,4,3,2
Haliburton,,3546,Census Division,Compressed Natural Gas,1,1,1,1,1
Haliburton,,3546,Census Division,Diesel,1155,1226,1255,1260,1315
Haliburton,,3546,Census Division,Electric,4,5,10,14,18
Haliburton,,3546,Census Division,Gas,17297,17744,17713,17453,17737
Haliburton,,3546,Census Division,Plugin Hybrid,0,3,5,8,9
Haliburton,,3546,Census Division,Propane,4,3,3,2,2
Halton,,3524,Census Division,Compressed Natural Gas,121,119,122,124,126
Halton,,3524,Census Division,Diesel,23878,22880,23206,23211,23319
Halton,,3524,Census Division,Electric,419,750,1667,2301,2987
Halton,,3524,Census Division,Gas,377657,385370,393712,402442,405233
Halton,,3524,Census Division,Plugin Hybrid,358,633,1065,1237,1322
Halton,,3524,Census Division,Propane,13,14,12,9,13
Halton Hills,3524015,,Town,Compressed Natural Gas,2,2,2,2,2
Halton Hills,3524015,,Town,Diesel,2997,2899,2947,3052,3186
Halton Hills,3524015,,Town,Electric,29,55,122,169,221
Halton Hills,3524015,,Town,Gas,46143,47017,47567,48555,48837
Halton Hills,3524015,,Town,Plugin Hybrid,30,57,92,117,117
Halton Hills,3524015,,Town,Propane,0,2,2,1,2
Hamilton,3525005,,City / Cite,Compressed Natural Gas,49,59,96,116,117
Hamilton,3525005,,City / Cite,Diesel,14724,14393,14590,15117,15158
Hamilton,3525005,,City / Cite,Electric,132,287,632,928,1249
Hamilton,3525005,,City / Cite,Gas,319504,328100,334136,342219,350247
Hamilton,3525005,,City / Cite,Plugin Hybrid,180,337,580,666,727
Hamilton,3525005,,City / Cite,Propane,45,45,42,39,41
Hamilton Township,3514019,,Township,Compressed Natural Gas,1,1,1,1,1
Hamilton Township,3514019,,Township,Diesel,290,287,305,345,356
Hamilton Township,3514019,,Township,Electric,0,3,10,14,15
Hamilton Township,3514019,,Township,Gas,5136,5312,5337,5392,5459
Hamilton Township,3514019,,Township,Plugin Hybrid,1,0,2,5,7
Hamilton Township,3514019,,Township,Propane,0,1,1,1,0
Hanover,3542029,,Town,Compressed Natural Gas,0,0,0,0,0
Hanover,3542029,,Town,Diesel,555,540,575,582,606
Hanover,3542029,,Town,Electric,0,2,4,7,10
Hanover,3542029,,Town,Gas,7719,7884,7914,7951,8114
Hanover,3542029,,Town,Plugin Hybrid,4,5,7,9,8
Hanover,3542029,,Town,Propane,2,1,1,1,1
Harley,3554026,,Township,Compressed Natural Gas,0,0,0,0,0
Harley,3554026,,Township,Diesel,197,214,232,241,264
Harley,3554026,,Township,Electric,0,0,0,1,1
Harley,3554026,,Township,Gas,995,1002,1015,1045,1086
Harley,3554026,,Township,Plugin Hybrid,0,0,0,0,0
Harley,3554026,,Township,Propane,1,1,1,1,1
Harris,3554014,,Township,Compressed Natural Gas,0,0,0,0,0
Harris,3554014,,Township,Diesel,0,0,0,0,0
Harris,3554014,,Township,Electric,0,0,0,0,0
Harris,3554014,,Township,Gas,8,9,9,9,9
Harris,3554014,,Township,Plugin Hybrid,0,0,0,0,0
Harris,3554014,,Township,Propane,0,0,0,0,0
Hastings,,3512,Census Division,Compressed Natural Gas,4,4,4,6,6
Hastings,,3512,Census Division,Diesel,6532,6353,6415,6562,6635
Hastings,,3512,Census Division,Electric,11,21,65,98,139
Hastings,,3512,Census Division,Gas,108051,111307,113366,115886,119016
Hastings,,3512,Census Division,Plugin Hybrid,16,39,75,102,111
Hastings,,3512,Census Division,Propane,15,19,17,14,12
Hastings Highlands,3512076,,Municipality,Compressed Natural Gas,0,0,0,0,0
Hastings Highlands,3512076,,Municipality,Diesel,537,448,464,479,488
Hastings Highlands,3512076,,Municipality,Electric,2,3,10,10,15
Hastings Highlands,3512076,,Municipality,Gas,6187,6251,6367,6456,6509
Hastings Highlands,3512076,,Municipality,Plugin Hybrid,4,5,8,11,12
Hastings Highlands,3512076,,Municipality,Propane,1,1,1,1,0
Havelock-Belmont-Methuen,3515030,,Township,Compressed Natural Gas,0,0,0,0,0
Havelock-Belmont-Methuen,3515030,,Township,Diesel,249,262,252,252,243
Havelock-Belmont-Methuen,3515030,,Township,Electric,0,0,2,2,1
Havelock-Belmont-Methuen,3515030,,Township,Gas,4112,4282,4293,4446,4592
Havelock-Belmont-Methuen,3515030,,Township,Plugin Hybrid,0,0,2,1,1
Havelock-Belmont-Methuen,3515030,,Township,Propane,0,0,0,0,0
Hawkesbury,3502008,,Town,Compressed Natural Gas,1,1,1,1,1
Hawkesbury,3502008,,Town,Diesel,636,653,700,683,360
Hawkesbury,3502008,,Town,Electric,2,7,10,14,21
Hawkesbury,3502008,,Town,Gas,8842,9096,9076,9327,9246
Hawkesbury,3502008,,Town,Plugin Hybrid,1,6,12,12,13
Hawkesbury,3502008,,Town,Propane,0,0,0,0,0
"Head, Clara and Maria",3547098,,Township,Compressed Natural Gas,0,0,0,0,0
"Head, Clara and Maria",3547098,,Township,Diesel,19,24,21,22,20
"Head, Clara and Maria",3547098,,Township,Electric,0,0,0,0,0
"Head, Clara and Maria",3547098,,Township,Gas,331,346,319,317,328
"Head, Clara and Maria",3547098,,Township,Plugin Hybrid,0,0,0,0,0
"Head, Clara and Maria",3547098,,Township,Propane,0,0,0,0,0
Hearst,3556076,,Town,Compressed Natural Gas,0,1,1,0,0
Hearst,3556076,,Town,Diesel,605,616,607,559,591
Hearst,3556076,,Town,Electric,0,0,2,2,3
Hearst,3556076,,Town,Gas,4530,4508,4440,4479,4491
Hearst,3556076,,Town,Plugin Hybrid,2,3,4,6,6
Hearst,3556076,,Town,Propane,0,0,0,0,0
Highlands East,3546005,,Municipality,Compressed Natural Gas,0,0,0,0,0
Highlands East,3546005,,Municipality,Diesel,180,181,181,168,183
Highlands East,3546005,,Municipality,Electric,0,0,1,2,2
Highlands East,3546005,,Municipality,Gas,3143,3191,3136,2971,2965
Highlands East,3546005,,Municipality,Plugin Hybrid,0,0,0,1,1
Highlands East,3546005,,Municipality,Propane,1,1,0,0,0
Hilliard,3554034,,Township,Compressed Natural Gas,0,0,0,0,0
Hilliard,3554034,,Township,Diesel,0,0,0,0,0
Hilliard,3554034,,Township,Electric,0,0,0,0,0
Hilliard,3554034,,Township,Gas,0,0,2,0,0
Hilliard,3554034,,Township,Plugin Hybrid,0,0,0,0,0
Hilliard,3554034,,Township,Propane,0,0,0,0,0
Hilton,3557004,,Township,Compressed Natural Gas,0,0,0,0,0
Hilton,3557004,,Township,Diesel,0,0,0,0,0
Hilton,3557004,,Township,Electric,0,0,0,0,0
Hilton,3557004,,Township,Gas,0,0,0,1,1
Hilton,3557004,,Township,Plugin Hybrid,0,0,0,0,0
Hilton,3557004,,Township,Propane,0,0,0,0,0
Hilton Beach,3557006,,Village,Compressed Natural Gas,0,0,0,0,0
Hilton Beach,3557006,,Village,Diesel,63,55,55,53,51
Hilton Beach,3557006,,Village,Electric,0,0,0,0,0
Hilton Beach,3557006,,Village,Gas,590,619,639,662,715
Hilton Beach,3557006,,Village,Plugin Hybrid,0,1,1,1,0
Hilton Beach,3557006,,Village,Propane,0,0,0,0,0
Hornepayne,3557096,,Township,Compressed Natural Gas,0,0,0,0,0
Hornepayne,3557096,,Township,Diesel,59,50,53,54,54
Hornepayne,3557096,,Township,Electric,0,0,0,0,0
Hornepayne,3557096,,Township,Gas,815,833,861,860,860
Hornepayne,3557096,,Township,Plugin Hybrid,0,0,0,0,1
Hornepayne,3557096,,Township,Propane,0,0,0,0,0
Horton,3547046,,Township,Compressed Natural Gas,0,0,0,0,0
Horton,3547046,,Township,Diesel,5,4,8,11,10
Horton,3547046,,Township,Electric,1,1,1,1,1
Horton,3547046,,Township,Gas,181,209,220,207,234
Horton,3547046,,Township,Plugin Hybrid,0,0,0,0,0
Horton,3547046,,Township,Propane,0,0,0,0,0
Howick,3540046,,Township,Compressed Natural Gas,0,0,0,0,0
Howick,3540046,,Township,Diesel,807,795,711,593,296
Howick,3540046,,Township,Electric,0,1,3,3,3
Howick,3540046,,Township,Gas,2501,2554,2569,2591,2638
Howick,3540046,,Township,Plugin Hybrid,0,0,0,0,0
Howick,3540046,,Township,Propane,0,0,0,0,0
Huntsville,3544042,,Town,Compressed Natural Gas,1,1,2,2,2
Huntsville,3544042,,Town,Diesel,1079,1099,1176,1220,1284
Huntsville,3544042,,Town,Electric,3,8,17,25,38
Huntsville,3544042,,Town,Gas,18126,18568,18880,19245,19699
Huntsville,3544042,,Town,Plugin Hybrid,7,14,20,20,18
Huntsville,3544042,,Town,Propane,4,4,4,2,1
Huron,,3540,Census Division,Compressed Natural Gas,11,10,13,15,15
Huron,,3540,Census Division,Diesel,4899,4855,4858,4835,4615
Huron,,3540,Census Division,Electric,8,9,22,32,43
Huron,,3540,Census Division,Gas,45842,46888,47403,47747,48628
Huron,,3540,Census Division,Plugin Hybrid,15,18,28,37,41
Huron,,3540,Census Division,Propane,7,7,9,8,7
Huron East,3540040,,Municipality,Compressed Natural Gas,0,0,0,0,0
Huron East,3540040,,Municipality,Diesel,741,760,780,788,807
Huron East,3540040,,Municipality,Electric,2,1,3,5,6
Huron East,3540040,,Municipality,Gas,6891,7014,7154,7134,7268
Huron East,3540040,,Municipality,Plugin Hybrid,2,2,2,5,4
Huron East,3540040,,Municipality,Propane,1,0,0,0,0
Huron Shores,3557035,,Municipality,Compressed Natural Gas,0,0,0,0,0
Huron Shores,3557035,,Municipality,Diesel,73,65,63,60,62
Huron Shores,3557035,,Municipality,Electric,0,0,0,0,0
Huron Shores,3557035,,Municipality,Gas,862,864,844,851,899
Huron Shores,3557035,,Municipality,Plugin Hybrid,0,0,0,0,0
Huron Shores,3557035,,Municipality,Propane,1,0,0,0,0
Huron-Kinloss,3541015,,Township,Compressed Natural Gas,0,0,0,0,0
Huron-Kinloss,3541015,,Township,Diesel,501,490,499,515,514
Huron-Kinloss,3541015,,Township,Electric,0,0,0,1,4
Huron-Kinloss,3541015,,Township,Gas,4025,4079,4128,4139,4179
Huron-Kinloss,3541015,,Township,Plugin Hybrid,2,3,3,4,4
Huron-Kinloss,3541015,,Township,Propane,0,1,1,0,0
Ignace,3560001,,Township,Compressed Natural Gas,0,0,0,0,0
Ignace,3560001,,Township,Diesel,163,152,148,143,131
Ignace,3560001,,Township,Electric,0,0,0,0,0
Ignace,3560001,,Township,Gas,1101,1113,1113,1087,1093
Ignace,3560001,,Township,Plugin Hybrid,0,0,0,0,0
Ignace,3560001,,Township,Propane,0,0,0,0,0
Ingersoll,3532018,,Town,Compressed Natural Gas,1,1,1,2,1
Ingersoll,3532018,,Town,Diesel,1114,1085,1200,1236,1200
Ingersoll,3532018,,Town,Electric,4,5,15,15,15
Ingersoll,3532018,,Town,Gas,11132,11487,11858,12004,12328
Ingersoll,3532018,,Town,Plugin Hybrid,6,11,15,16,15
Ingersoll,3532018,,Town,Propane,2,2,2,1,1
Innisfil,3543017,,Town,Compressed Natural Gas,0,0,0,0,0
Innisfil,3543017,,Town,Diesel,2083,2147,2262,2329,2434
Innisfil,3543017,,Town,Electric,10,15,40,70,94
Innisfil,3543017,,Town,Gas,30356,32127,33156,34506,35957
Innisfil,3543017,,Town,Plugin Hybrid,12,22,32,48,45
Innisfil,3543017,,Town,Propane,7,7,3,3,4
Iroquois Falls,3556031,,Town,Compressed Natural Gas,0,0,1,1,1
Iroquois Falls,3556031,,Town,Diesel,142,153,164,195,202
Iroquois Falls,3556031,,Town,Electric,0,0,0,0,0
Iroquois Falls,3556031,,Town,Gas,3359,3292,3337,3339,3370
Iroquois Falls,3556031,,Town,Plugin Hybrid,1,1,1,2,2
Iroquois Falls,3556031,,Town,Propane,0,0,0,0,0
James,3554042,,Township,Compressed Natural Gas,0,0,0,0,0
James,3554042,,Township,Diesel,0,0,0,0,0
James,3554042,,Township,Electric,0,0,0,0,0
James,3554042,,Township,Gas,0,1,1,0,0
James,3554042,,Township,Plugin Hybrid,0,0,0,0,0
James,3554042,,Township,Propane,0,0,0,0,0
Jocelyn,3557001,,Township,Compressed Natural Gas,0,0,0,0,0
Jocelyn,3557001,,Township,Diesel,0,0,0,0,0
Jocelyn,3557001,,Township,Electric,0,0,0,0,0
Jocelyn,3557001,,Township,Gas,1,1,1,0,0
Jocelyn,3557001,,Township,Plugin Hybrid,0,0,0,0,0
Jocelyn,3557001,,Township,Propane,0,0,0,0,0
Johnson,3557016,,Township,Compressed Natural Gas,0,0,0,0,0
Johnson,3557016,,Township,Diesel,93,94,101,107,107
Johnson,3557016,,Township,Electric,0,0,0,0,0
Johnson,3557016,,Township,Gas,923,934,941,969,975
Johnson,3557016,,Township,Plugin Hybrid,0,0,0,0,0
Johnson,3557016,,Township,Propane,2,2,1,1,1
Kapuskasing,3556066,,Town,Compressed Natural Gas,1,0,0,0,0
Kapuskasing,3556066,,Town,Diesel,531,581,593,593,565
Kapuskasing,3556066,,Town,Electric,0,0,2,3,4
Kapuskasing,3556066,,Town,Gas,6127,6078,6052,5977,5979
Kapuskasing,3556066,,Town,Plugin Hybrid,6,6,7,7,7
Kapuskasing,3556066,,Town,Propane,1,1,2,2,1
Kawartha Lakes,3516010,,City,Compressed Natural Gas,5,5,6,5,4
Kawartha Lakes,3516010,,City,Diesel,4173,4194,4269,4443,4549
Kawartha Lakes,3516010,,City,Electric,14,17,37,47,61
Kawartha Lakes,3516010,,City,Gas,61226,62837,63333,64039,65426
Kawartha Lakes,3516010,,City,Plugin Hybrid,8,16,29,32,34
Kawartha Lakes,3516010,,City,Propane,5,7,5,6,3
Kearney,3549018,,Town,Compressed Natural Gas,0,0,0,0,0
Kearney,3549018,,Town,Diesel,70,73,72,76,72
Kearney,3549018,,Town,Electric,0,0,0,0,0
Kearney,3549018,,Town,Gas,985,999,1018,1038,1085
Kearney,3549018,,Town,Plugin Hybrid,0,0,0,0,0
Kearney,3549018,,Town,Propane,0,0,0,0,1
Kenora,3560010,,City,Compressed Natural Gas,0,0,0,0,0
Kenora,3560010,,City,Diesel,584,612,615,606,636
Kenora,3560010,,City,Electric,1,1,2,3,4
Kenora,3560010,,City,Gas,10628,10720,10912,10990,11242
Kenora,3560010,,City,Plugin Hybrid,0,1,2,3,2
Kenora,3560010,,City,Propane,0,0,0,0,0
"Killaloe, Hagarty and Richards",3547033,,Township,Compressed Natural Gas,0,0,0,0,0
"Killaloe, Hagarty and Richards",3547033,,Township,Diesel,138,133,116,104,106
"Killaloe, Hagarty and Richards",3547033,,Township,Electric,0,1,2,3,3
"Killaloe, Hagarty and Richards",3547033,,Township,Gas,2148,2215,2233,2249,2283
"Killaloe, Hagarty and Richards",3547033,,Township,Plugin Hybrid,1,1,1,1,1
"Killaloe, Hagarty and Richards",3547033,,Township,Propane,0,0,0,0,0
Killarney,3552036,,Municipality,Compressed Natural Gas,0,0,0,0,0
Killarney,3552036,,Municipality,Diesel,21,22,21,18,17
Killarney,3552036,,Municipality,Electric,0,0,1,1,1
Killarney,3552036,,Municipality,Gas,276,268,279,267,262
Killarney,3552036,,Municipality,Plugin Hybrid,0,0,0,1,1
Killarney,3552036,,Municipality,Propane,0,0,0,0,0
Kincardine,3541024,,Municipality,Compressed Natural Gas,0,0,0,0,0
Kincardine,3541024,,Municipality,Diesel,708,659,679,693,726
Kincardine,3541024,,Municipality,Electric,3,4,11,18,25
Kincardine,3541024,,Municipality,Gas,11926,12222,12374,12493,12621
Kincardine,3541024,,Municipality,Plugin Hybrid,5,8,16,23,22
Kincardine,3541024,,Municipality,Propane,3,4,3,3,3
King,3519049,,Township,Compressed Natural Gas,3,3,3,2,1
King,3519049,,Township,Diesel,2474,2327,2291,2349,2358
King,3519049,,Township,Electric,35,55,111,137,181
King,3519049,,Township,Gas,19940,20673,20992,21560,21582
King,3519049,,Township,Plugin Hybrid,16,22,41,47,52
King,3519049,,Township,Propane,0,0,0,0,0
Kingston,3510010,,City,Compressed Natural Gas,4,5,2,2,2
Kingston,3510010,,City,Diesel,3530,3435,3014,2848,2849
Kingston,3510010,,City,Electric,33,58,139,191,271
Kingston,3510010,,City,Gas,78326,79993,81205,82414,83458
Kingston,3510010,,City,Plugin Hybrid,43,64,109,139,160
Kingston,3510010,,City,Propane,4,3,4,4,3
Kingsville,3537013,,Town,Compressed Natural Gas,0,3,2,2,2
Kingsville,3537013,,Town,Diesel,1259,1296,1332,1304,1283
Kingsville,3537013,,Town,Electric,1,2,3,7,11
Kingsville,3537013,,Town,Gas,14887,15350,15752,16091,16268
Kingsville,3537013,,Town,Plugin Hybrid,6,12,15,16,15
Kingsville,3537013,,Town,Propane,1,1,1,1,1
Kirkland Lake,3554068,,Town,Compressed Natural Gas,0,0,0,0,0
Kirkland Lake,3554068,,Town,Diesel,305,296,281,273,273
Kirkland Lake,3554068,,Town,Electric,0,0,0,1,2
Kirkland Lake,3554068,,Town,Gas,5711,5763,5810,5818,5825
Kirkland Lake,3554068,,Town,Plugin Hybrid,1,0,3,3,3
Kirkland Lake,3554068,,Town,Propane,3,2,2,1,1
Kitchener,3530013,,City,Compressed Natural Gas,6,4,5,5,4
Kitchener,3530013,,City,Diesel,5710,5239,5403,5483,5440
Kitchener,3530013,,City,Electric,77,138,285,415,578
Kitchener,3530013,,City,Gas,149073,154276,158917,161844,164323
Kitchener,3530013,,City,Plugin Hybrid,56,108,216,280,322
Kitchener,3530013,,City,Propane,6,5,2,2,3
La Vallee,3559016,,Township,Compressed Natural Gas,0,0,0,0,0
La Vallee,3559016,,Township,Diesel,91,91,97,91,93
La Vallee,3559016,,Township,Electric,0,0,0,0,0
La Vallee,3559016,,Township,Gas,972,1015,1010,1020,1019
La Vallee,3559016,,Township,Plugin Hybrid,0,0,0,0,0
La Vallee,3559016,,Township,Propane,0,0,0,0,0
Laird,3557011,,Township,Compressed Natural Gas,0,0,0,0,0
Laird,3557011,,Township,Diesel,0,0,0,0,0
Laird,3557011,,Township,Electric,0,0,0,0,0
Laird,3557011,,Township,Gas,0,1,0,0,1
Laird,3557011,,Township,Plugin Hybrid,0,0,0,0,0
Laird,3557011,,Township,Propane,0,0,0,0,0
Lake of Bays,3544027,,Township,Compressed Natural Gas,1,0,0,0,0
Lake of Bays,3544027,,Township,Diesel,300,320,269,277,279
Lake of Bays,3544027,,Township,Electric,1,1,1,1,2
Lake of Bays,3544027,,Township,Gas,2091,2083,2072,2065,2080
Lake of Bays,3544027,,Township,Plugin Hybrid,1,1,2,5,4
Lake of Bays,3544027,,Township,Propane,0,1,1,0,0
Lake of the Woods,3559047,,Township,Compressed Natural Gas,0,0,0,0,0
Lake of the Woods,3559047,,Township,Diesel,2,0,1,1,1
Lake of the Woods,3559047,,Township,Electric,0,0,0,0,0
Lake of the Woods,3559047,,Township,Gas,45,35,32,33,36
Lake of the Woods,3559047,,Township,Plugin Hybrid,0,0,0,0,0
Lake of the Woods,3559047,,Township,Propane,0,0,0,0,0
